"x","y","proj"
"Quie",0.474493101266201,"CD4 Teff"
"Help",0.242051126179415,"CD4 Teff"
"Prol",0.0820519194039325,"CD4 Teff"
"Regu",0.03903430526498,"CD4 Teff"
"Cyto",0.601402226286978,"CD4 Teff"
"Sene",0.347264142589117,"CD4 Teff"
"Prog",0.346777986052858,"CD4 Teff"
"Term",0.451101403891479,"CD4 Teff"
"Quie",0.465815267276405,"CD4 Temra"
"Help",0.38668773891213,"CD4 Temra"
"Prol",0.108274813045938,"CD4 Temra"
"Regu",0.0686249258393868,"CD4 Temra"
"Cyto",0.503254623859591,"CD4 Temra"
"Sene",0.728039043579838,"CD4 Temra"
"Prog",0.394726991145631,"CD4 Temra"
"Term",0.492431202646237,"CD4 Temra"
"Quie",0.870657820440429,"CD4 Tn"
"Help",0.450678541965054,"CD4 Tn"
"Prol",0.163827017023883,"CD4 Tn"
"Regu",0.21561236948854,"CD4 Tn"
"Cyto",0.20026284866731,"CD4 Tn"
"Sene",0.40694874483371,"CD4 Tn"
"Prog",0.37251812823819,"CD4 Tn"
"Term",0.312157081387625,"CD4 Tn"
"Quie",0.340393194665,"CD8 Tcm"
"Help",0.176549810853704,"CD8 Tcm"
"Prol",0.224753611148061,"CD8 Tcm"
"Regu",0.025011978325831,"CD8 Tcm"
"Cyto",0.744065046538719,"CD8 Tcm"
"Sene",0.612067748201817,"CD8 Tcm"
"Prog",0.563692915572551,"CD8 Tcm"
"Term",0.600782762280753,"CD8 Tcm"
"Quie",0.411783870396143,"CD8 Teff"
"Help",0.0282612160696351,"CD8 Teff"
"Prol",0.121102224298423,"CD8 Teff"
"Regu",0.00494928146266151,"CD8 Teff"
"Cyto",0.774667692675526,"CD8 Teff"
"Sene",0.697103771793402,"CD8 Teff"
"Prog",0.412935361827737,"CD8 Teff"
"Term",0.584451179579586,"CD8 Teff"
"Quie",0.296142079929864,"CD8 Tem"
"Help",0.0170256559299438,"CD8 Tem"
"Prol",0.0728191937145616,"CD8 Tem"
"Regu",0.00215432015653954,"CD8 Tem"
"Cyto",0.598768284021529,"CD8 Tem"
"Sene",0.533175118489017,"CD8 Tem"
"Prog",0.565090766138745,"CD8 Tem"
"Term",0.632026118835322,"CD8 Tem"
"Quie",0.458306080590534,"CD8 Temra"
"Help",0.0121858847792672,"CD8 Temra"
"Prol",0.0499040850658737,"CD8 Temra"
"Regu",0.00153481804164661,"CD8 Temra"
"Cyto",0.573725251689674,"CD8 Temra"
"Sene",0.761371817690561,"CD8 Temra"
"Prog",0.381183653276279,"CD8 Temra"
"Term",0.532013896421452,"CD8 Temra"
"Quie",0.84044579498863,"CD8 Tn"
"Help",0.0088846477508832,"CD8 Tn"
"Prol",0.0778028747997145,"CD8 Tn"
"Regu",0.00115732275024381,"CD8 Tn"
"Cyto",0.28865690974082,"CD8 Tn"
"Sene",0.395077095152406,"CD8 Tn"
"Prog",0.392675500901184,"CD8 Tn"
"Term",0.340917766469586,"CD8 Tn"
"Quie",0.262507501211766,"Tex"
"Help",0.293521532649351,"Tex"
"Prol",0.356930789321204,"Tex"
"Regu",0.0946469382077896,"Tex"
"Cyto",0.62344809122275,"Tex"
"Sene",0.503194127776012,"Tex"
"Prog",0.429256122052092,"Tex"
"Term",0.735239823326722,"Tex"
"Quie",0.430167071162732,"Th1/Th2/Th17/Tfh"
"Help",0.415666858127039,"Th1/Th2/Th17/Tfh"
"Prol",0.181550001839781,"Th1/Th2/Th17/Tfh"
"Regu",0.0951070137161796,"Th1/Th2/Th17/Tfh"
"Cyto",0.51309714379959,"Th1/Th2/Th17/Tfh"
"Sene",0.537721524798334,"Th1/Th2/Th17/Tfh"
"Prog",0.395065585798442,"Th1/Th2/Th17/Tfh"
"Term",0.475549565777933,"Th1/Th2/Th17/Tfh"
"Quie",0.27838686452293,"Tprolif"
"Help",0.220936695321057,"Tprolif"
"Prol",0.576268645670195,"Tprolif"
"Regu",0.0683652730728909,"Tprolif"
"Cyto",0.504648755143291,"Tprolif"
"Sene",0.4206326222576,"Tprolif"
"Prog",0.340190558856191,"Tprolif"
"Term",0.440684863133659,"Tprolif"
"Quie",0.173099349525349,"Treg"
"Help",0.413290344072153,"Treg"
"Prol",0.200295657270096,"Treg"
"Regu",0.844791288710281,"Treg"
"Cyto",0.219190299044589,"Treg"
"Sene",0.514089093698961,"Treg"
"Prog",0.304760075296412,"Treg"
"Term",0.48815465060367,"Treg"
