"score_type","score","cell_type"
"Cytotoxicity",0.295401689535667,"CD4 Tcm"
"Cytotoxicity",0.261768615022341,"CD4 Tcm"
"Cytotoxicity",0.241468847364777,"CD4 Tcm"
"Cytotoxicity",0.276644852625635,"CD4 Tcm"
"Cytotoxicity",0.228285871296944,"CD4 Tcm"
"Cytotoxicity",0.270788012473152,"CD4 Tcm"
"Cytotoxicity",0.243250151620011,"CD4 Tcm"
"Cytotoxicity",0.298675267696084,"CD4 Tcm"
"Cytotoxicity",0.245211740087962,"CD4 Tcm"
"Cytotoxicity",0.298743898813287,"CD4 Tcm"
"Cytotoxicity",0.262226700561852,"CD4 Tcm"
"Cytotoxicity",0.300365145589355,"CD4 Tcm"
"Cytotoxicity",0.24037614175248,"CD4 Tcm"
"Cytotoxicity",0.321391725259936,"CD4 Tcm"
"Cytotoxicity",0.257900418564127,"CD4 Tcm"
"Cytotoxicity",0.269953513067446,"CD4 Tcm"
"Cytotoxicity",0.181884084273158,"CD4 Tcm"
"Cytotoxicity",0.194303485402907,"CD4 Tcm"
"Cytotoxicity",0.227783229578727,"CD4 Tcm"
"Cytotoxicity",0.180172981793716,"CD4 Tcm"
"Cytotoxicity",0.243728895977672,"CD4 Tcm"
"Cytotoxicity",0.30119333249409,"CD4 Tcm"
"Cytotoxicity",0.223133563438748,"CD4 Tcm"
"Cytotoxicity",0.268226295382201,"CD4 Tcm"
"Cytotoxicity",0.261443199707577,"CD4 Tcm"
"Cytotoxicity",0.324845637553241,"CD4 Tcm"
"Cytotoxicity",0.26784111558996,"CD4 Tcm"
"Cytotoxicity",0.254535052373306,"CD4 Tcm"
"Cytotoxicity",0.316774121572577,"CD4 Tcm"
"Cytotoxicity",0.254590751804379,"CD4 Tcm"
"Cytotoxicity",0.29664664558784,"CD4 Tcm"
"Cytotoxicity",0.26834208825159,"CD4 Tcm"
"Cytotoxicity",0.260866695051478,"CD4 Tcm"
"Cytotoxicity",0.302634254160604,"CD4 Tcm"
"Cytotoxicity",0.309080977940956,"CD4 Tcm"
"Cytotoxicity",0.307770632686818,"CD4 Tcm"
"Cytotoxicity",0.263901372235304,"CD4 Tcm"
"Cytotoxicity",0.235888077995415,"CD4 Tcm"
"Cytotoxicity",0.188535211985658,"CD4 Tcm"
"Cytotoxicity",0.290969505586703,"CD4 Tcm"
"Cytotoxicity",0.264818413959011,"CD4 Tcm"
"Cytotoxicity",0.19521938778285,"CD4 Tcm"
"Cytotoxicity",0.284485384140113,"CD4 Tcm"
"Cytotoxicity",0.291592001856465,"CD4 Tcm"
"Cytotoxicity",0.288205569023277,"CD4 Tcm"
"Cytotoxicity",0.259967752230211,"CD4 Tcm"
"Cytotoxicity",0.296470270674845,"CD4 Tcm"
"Cytotoxicity",0.233071558659016,"CD4 Tcm"
"Cytotoxicity",0.281908200182739,"CD4 Tcm"
"Cytotoxicity",0.322147902784077,"CD4 Tcm"
"Cytotoxicity",0.244941497724319,"CD4 Tcm"
"Cytotoxicity",0.316499440367304,"CD4 Tcm"
"Cytotoxicity",0.322257666999924,"CD4 Tcm"
"Cytotoxicity",0.247902900565432,"CD4 Tcm"
"Cytotoxicity",0.28124899130771,"CD4 Tcm"
"Cytotoxicity",0.19692991300623,"CD4 Tcm"
"Cytotoxicity",0.273666536718582,"CD4 Tcm"
"Cytotoxicity",0.301054993901111,"CD4 Tcm"
"Cytotoxicity",0.353257281814413,"CD4 Tcm"
"Cytotoxicity",0.239869034300197,"CD4 Tcm"
"Cytotoxicity",0.28660805580053,"CD4 Tcm"
"Cytotoxicity",0.280046904797835,"CD4 Tcm"
"Cytotoxicity",0.251495022233286,"CD4 Tcm"
"Cytotoxicity",0.261293663026426,"CD4 Tcm"
"Cytotoxicity",0.286502770798719,"CD4 Tcm"
"Cytotoxicity",0.284171047023427,"CD4 Tcm"
"Cytotoxicity",0.27093259287332,"CD4 Tcm"
"Cytotoxicity",0.283766929157909,"CD4 Tcm"
"Cytotoxicity",0.199627274132373,"CD4 Tcm"
"Cytotoxicity",0.278990048428666,"CD4 Tcm"
"Cytotoxicity",0.289245483240063,"CD4 Tcm"
"Cytotoxicity",0.264431573235081,"CD4 Tcm"
"Cytotoxicity",0.181960967998904,"CD4 Tcm"
"Cytotoxicity",0.284321537176658,"CD4 Tcm"
"Cytotoxicity",0.272022211714445,"CD4 Tcm"
"Cytotoxicity",0.266275892401195,"CD4 Tcm"
"Cytotoxicity",0.337750921057408,"CD4 Tcm"
"Cytotoxicity",0.233676275251232,"CD4 Tcm"
"Cytotoxicity",0.276429534239285,"CD4 Tcm"
"Cytotoxicity",0.310248992743619,"CD4 Tcm"
"Cytotoxicity",0.310366941933213,"CD4 Tcm"
"Cytotoxicity",0.273121740717625,"CD4 Tcm"
"Cytotoxicity",0.278716238239947,"CD4 Tcm"
"Cytotoxicity",0.257170702602602,"CD4 Tcm"
"Cytotoxicity",0.271872949132791,"CD4 Tcm"
"Cytotoxicity",0.244797836376674,"CD4 Tcm"
"Cytotoxicity",0.286014313539195,"CD4 Tcm"
"Cytotoxicity",0.286101800410875,"CD4 Tcm"
"Cytotoxicity",0.278253577976019,"CD4 Tcm"
"Cytotoxicity",0.26481435509869,"CD4 Tcm"
"Cytotoxicity",0.24025641662087,"CD4 Tcm"
"Cytotoxicity",0.204202587263526,"CD4 Tcm"
"Cytotoxicity",0.322410229688563,"CD4 Tcm"
"Cytotoxicity",0.302265207779765,"CD4 Tcm"
"Cytotoxicity",0.272079787500748,"CD4 Tcm"
"Cytotoxicity",0.316028147413023,"CD4 Tcm"
"Cytotoxicity",0.277054149821749,"CD4 Tcm"
"Cytotoxicity",0.285123967530054,"CD4 Tcm"
"Cytotoxicity",0.273503357380812,"CD4 Tcm"
"Cytotoxicity",0.230413492692841,"CD4 Tcm"
"Cytotoxicity",0.241013137569254,"CD4 Tcm"
"Cytotoxicity",0.243168224285704,"CD4 Tcm"
"Cytotoxicity",0.169015662150425,"CD4 Tcm"
"Cytotoxicity",0.189104314685261,"CD4 Tcm"
"Cytotoxicity",0.220553516834923,"CD4 Tcm"
"Cytotoxicity",0.184129157723804,"CD4 Tcm"
"Cytotoxicity",0.184600331169046,"CD4 Tcm"
"Cytotoxicity",0.13029610756349,"CD4 Tcm"
"Cytotoxicity",0.262533868492025,"CD4 Tcm"
"Cytotoxicity",0.150416814839769,"CD4 Tcm"
"Cytotoxicity",0.124033004453426,"CD4 Tcm"
"Cytotoxicity",0.277788987306916,"CD4 Tcm"
"Cytotoxicity",0.141319502788345,"CD4 Tcm"
"Cytotoxicity",0.188647661589164,"CD4 Tcm"
"Cytotoxicity",0.126418456257338,"CD4 Tcm"
"Cytotoxicity",0.227457159415547,"CD4 Tcm"
"Cytotoxicity",0.153882873372918,"CD4 Tcm"
"Cytotoxicity",0.119657642143807,"CD4 Tcm"
"Cytotoxicity",0.161791579584625,"CD4 Tcm"
"Cytotoxicity",0.222252909434908,"CD4 Tcm"
