Cell,Quiescence,Terminal_exhaustion,Progenitor_exhaustion,Senescence,Cytotoxicity,Regulating,Proliferation,Helper
Tc,0.505676773,0.248617007,0.429790952,0.315587901,0.315841838,0.097996734,0.308253798,0
Tc,0.497633751,0.218261784,0.427864935,0.309842551,0.370335988,0.026630873,0.314974859,0
Tc,0.425635976,0.339461188,0.462847398,0.092423388,0.507093923,0.167751849,0.532676707,0.135336418
Tc,0.439830801,0.358187428,0.369065466,0.12872036,0.573562514,0.151067725,0.552992288,0.205103004
Tc,0.517703278,0.407456477,0.326387443,0.237286611,0.580308098,0.128564638,0.505644113,0.149714379
Tc,0.517103997,0.401403384,0.415924614,0.246384906,0.624608947,0.163881812,0.518264244,0.194356006
Tc,0.384719089,0.32521203,0.44884952,0.063611445,0.496843853,0.164958751,0.548135713,0.14971761
Tc,0.405694751,0.32852582,0.441151391,0.146354709,0.483755162,0.151446821,0.543324183,0.136916747
Tc,0.394049114,0.344547092,0.439055125,0.067589715,0.489677918,0.140446482,0.544633477,0.123153637
Tc,0.415982146,0.365751981,0.322066778,0.233332957,0.44663187,0.189469183,0.493129971,0.142014214
Tc,0.568061557,0.409915285,0.379537785,0.388745748,0.534678924,0.175132073,0.257839894,0.289342549
Tc,0.424402032,0.35856396,0.311987441,0.087097336,0.564389761,0.125933366,0.55045187,0.173974466
Tc,0.412722896,0.377418192,0.338801875,0.109791049,0.567150149,0.142736549,0.545475883,0.189321794
Tc,0.432237686,0.356106466,0.359677541,0.088045303,0.558984305,0.139796855,0.554312292,0.202593439
Tcm,0.787571084,0.328873555,0.266621116,0.320179575,0.206064517,0.204321909,0.348120478,0.663300269
Tcm,0.675244571,0.379227258,0.527592802,0.393910671,0.372940606,0.079409349,0.278528433,0.138190089
Tcm,0.644990414,0.349102418,0.269074332,0.321237065,0.285917127,0.24276564,0.337802951,0.665495518
Tcm,0.665681597,0.401556126,0.560408002,0.39123981,0.320020229,0.099733913,0.241443518,0.156902134
Tcm,0.720768891,0.306853234,0.225303966,0.282312405,0.166873449,0.184818065,0.32793969,0.786829025
Tcm,0.681126836,0.362765867,0.542353396,0.396457113,0.41346777,0.054426697,0.221681995,0.015729817
Tcm,0.708421297,0.315134523,0.249118465,0.2768803,0.165550086,0.180761958,0.300435476,0.665807297
Tcm,0.611430777,0.377065302,0.593475502,0.436462693,0.543085567,0.073241598,0.227407316,0.028522174
Tcm,0.57472745,0.359428754,0.410149793,0.449442751,0.369783892,0.03211594,0.087839422,0.017627965
Tcm,0.646644475,0.359549941,0.417402195,0.346539367,0.340178894,0.069822229,0.099882005,0.053295214
Tcm,0.621558748,0.384769027,0.437269125,0.339649208,0.32319055,0.086133318,0.110338913,0
Tem,0.790188667,0.380327043,0.3153997,0.392032915,0.345513349,0.307133745,0.33632883,0.743984074
Tem,0.651458148,0.41734977,0.648427316,0.512888035,0.621150364,0.07930333,0.256758786,0.12803947
Tem,0.604373443,0.41355387,0.341289841,0.381534006,0.353970312,0.291877703,0.407821753,0.820193081
Tem,0.369489432,0.443204846,0.612941395,0.503363375,0.664927223,0.127184722,0.23105436,0.210931608
Tem,0.630684025,0.407453428,0.370890989,0.376386273,0.479499125,0.20360072,0.350396124,0.797281118
Tem,0.649951218,0.400731847,0.421355566,0.48134517,0.606587855,0.081474504,0.239153927,0.194538715
Tem,0.699539288,0.369641166,0.324842328,0.386031592,0.363774103,0.298478302,0.321498735,0.789567564
Tem,0.585543122,0.377413761,0.640765708,0.430881595,0.538947265,0.06254495,0.196928048,0
Tem,0.585768599,0.37443712,0.605614676,0.427530957,0.518489909,0.048379306,0.171414805,0.016663964
Tem,0.579403049,0.404081146,0.55501427,0.413419638,0.520850608,0.06158825,0.089791334,0
Tem,0.529374381,0.430050635,0.478818552,0.411452301,0.483518316,0.136983039,0.12660217,0.167987607
Tem,0.543919186,0.445165933,0.344095753,0.450488392,0.510886533,0.111563288,0.133356354,0.126521335
Tem,0.425168791,0.460459418,0.514766143,0.420723699,0.472505939,0.086926588,0.286375289,0.267967346
Tem,0.298180984,0.44063884,0.52827996,0.291294265,0.488935062,0.103389057,0.129739995,0
Tem,0.339539683,0.412542145,0.521545981,0.334003514,0.476721734,0.133982706,0.116322542,0.151415938
Tem,0.404308952,0.420175672,0.516283022,0.306717892,0.492268371,0.183481366,0.180737153,0.453188671
Tem,0.401255616,0.414317266,0.526761557,0.385398989,0.491520842,0.046757658,0.148157126,0.120627989
Temra,0.593472792,0.403048369,0.557644032,0.524911262,0.649514669,0.093055609,0.273360731,0.075694765
Temra,0.516415475,0.413090241,0.566797712,0.567180788,0.679075952,0.09076652,0.208799671,0.027457524
Temra,0.494903805,0.382364047,0.395327321,0.491097761,0.627792007,0.043888901,0.232310969,0.101759071
Temra,0.546945861,0.380021035,0.534520541,0.530299837,0.661337967,0.057178994,0.164482902,0.007838985
Temra,0.436277717,0.338291541,0.334057582,0.378298922,0.435762338,0.057667583,0.094298022,0.166498782
Temra,0.355636576,0.356675817,0.348997208,0.421888574,0.47971704,0.038301505,0.083037158,0.009968763
Temra,0.370735146,0.354636911,0.32462236,0.468981381,0.447434182,0.067553514,0.0992104,0
Temra,0.437626211,0.41267786,0.545266238,0.368235181,0.507576912,0.1258618,0.234956534,0.182375359
Temra,0.410273444,0.443485887,0.516416069,0.268831109,0.500068877,0.109730424,0.109482793,0.03872359
Temra,0.407379454,0.415831778,0.537840128,0.343554781,0.475259611,0.137038485,0.146530401,0.046925777
Temra,0.205353775,0.44059448,0.551299009,0.311441694,0.481243248,0.181800388,0.106683072,0.042287231
Tex,0.447579432,0.508090283,0.705736573,0.166068392,0.521543825,0.207740206,0.318216898,0.024009892
Tex,0.489463652,0.516517592,0.673579582,0.060258664,0.523383713,0.15407205,0.363060825,0
Tex,0.43246732,0.503473321,0.709209984,0.120201953,0.474843465,0.231827993,0.385279463,0.025515329
Tex,0.434672855,0.521518502,0.665860151,0.167706335,0.462884907,0.350756413,0.424596088,0.097665581
Tex,0.526600927,0.502763069,0.713977976,0.292606641,0.527983033,0.16627882,0.380539796,0.225173587
Tex,0.459894904,0.512115207,0.664335945,0.263102476,0.513428785,0.253557947,0.432876673,0.183128927
Tfh,0.689350649,0.366957255,0.368141399,0.092062843,0.240697689,0.141741054,0.279782227,0.406274282
