"cluster","genes","expressions"
"COVID","Cytotoxicity",0.757054734613083
"COVID","Cytotoxicity",0.471617351741603
"COVID","Cytotoxicity",0.501010303425361
"COVID","Cytotoxicity",0.385942920997237
"COVID","Cytotoxicity",0.755742761128758
"COVID","Cytotoxicity",0.655342763041607
"COVID","Cytotoxicity",0.604381257785517
"COVID","Cytotoxicity",0.531595362885775
"COVID","Cytotoxicity",0.43898256752917
"COVID","Cytotoxicity",0.242879393550745
"COVID","Cytotoxicity",0.537810186177934
"COVID","Cytotoxicity",0.713713575473001
"COVID","Cytotoxicity",0.327850835272372
"COVID","Cytotoxicity",0.429253756825941
"COVID","Cytotoxicity",0.560700917685031
"COVID","Cytotoxicity",0.507591350554218
"COVID","Cytotoxicity",0.736363957444615
"COVID","Cytotoxicity",0.416431428783324
"COVID","Cytotoxicity",0.735104113919195
"COVID","Cytotoxicity",0.306352948623951
"COVID","Cytotoxicity",0.37228016459461
"COVID","Cytotoxicity",0.406798501265463
"COVID","Cytotoxicity",0.488198710102372
"COVID","Cytotoxicity",0.364488912333251
"COVID","Cytotoxicity",0.465074075367665
"COVID","Cytotoxicity",0.513041474580722
"COVID","Cytotoxicity",0.332328078952067
"COVID","Cytotoxicity",0.50884177417891
"COVID","Cytotoxicity",0.348171440012705
"COVID","Cytotoxicity",0.36965183457879
"COVID","Cytotoxicity",0.739730546732342
"COVID","Cytotoxicity",0.353364623962165
"COVID","Cytotoxicity",0.519002475579609
"COVID","Cytotoxicity",0.311078804061149
"COVID","Cytotoxicity",0.496630859382568
"COVID","Cytotoxicity",0.453705075595491
"COVID","Cytotoxicity",0.222401562656831
"COVID","Cytotoxicity",0.462731685874303
"COVID","Cytotoxicity",0.243652129780838
"COVID","Cytotoxicity",0.248556907309425
"COVID","Cytotoxicity",0.521710920409958
"COVID","Cytotoxicity",0.276401644513769
"COVID","Cytotoxicity",0.285352197111948
"COVID","Cytotoxicity",0.367413145513083
"COVID","Cytotoxicity",0.559364852213738
"COVID","Cytotoxicity",0.264602626917965
"COVID","Cytotoxicity",0.283614800164212
"COVID","Cytotoxicity",0.308363506428788
"COVID","Cytotoxicity",0.269265245579643
"COVID","Cytotoxicity",0.383860268941959
"COVID","Cytotoxicity",0.457554478323363
"COVID","Cytotoxicity",0.360471778542904
"COVID","Cytotoxicity",0.286046809089887
"COVID","Cytotoxicity",0.169064323638122
"COVID","Cytotoxicity",0.344078849210442
"COVID","Cytotoxicity",0.126704033228488
"COVID","Cytotoxicity",0.497336722827432
"COVID","Cytotoxicity",0.294382680874022
"COVID","Cytotoxicity",0.266916129063017
"COVID","Cytotoxicity",0.419658426003336
"COVID","Cytotoxicity",0.10264851222951
"COVID","Cytotoxicity",0.363983664221088
"COVID","Cytotoxicity",0.469843376016412
"COVID","Cytotoxicity",0.274199498979501
"COVID","Cytotoxicity",0.690197793429391
"COVID","Cytotoxicity",0.2157678814167
"COVID","Cytotoxicity",0.557916164746323
"COVID","Cytotoxicity",0.282324129904564
"COVID","Cytotoxicity",0.64721723518851
"COVID","Cytotoxicity",0.346441303479659
"COVID","Cytotoxicity",0.219799082675448
"COVID","Cytotoxicity",0.352181098109796
"COVID","Cytotoxicity",0.144252040443113
"COVID","Cytotoxicity",0.331753554742056
"COVID","Cytotoxicity",0.332647949789009
"COVID","Cytotoxicity",0.145303233295003
"COVID","Cytotoxicity",0.357194701414296
"COVID","Cytotoxicity",0.0863433038184611
"COVID","Cytotoxicity",0.228882164966405
"COVID","Cytotoxicity",0.37701559547745
"COVID","Cytotoxicity",0.311450946559458
"COVID","Cytotoxicity",0.104888102858604
"COVID","Cytotoxicity",0.218996446081595
"COVID","Cytotoxicity",0.349243564066373
"COVID","Cytotoxicity",0.126385570064465
"COVID","Cytotoxicity",0.263941356754499
"COVID","Cytotoxicity",0.311096284575312
"COVID","Cytotoxicity",0.075225258172374
"COVID","Cytotoxicity",0.253132954317198
"COVID","Cytotoxicity",0.206140065363996
"COVID","Cytotoxicity",0.202089027302587
"COVID","Cytotoxicity",0.37862402633083
"COVID","Cytotoxicity",0.191759494736919
"COVID","Cytotoxicity",0.255351238831234
"COVID","Cytotoxicity",0.218565141014016
"COVID","Cytotoxicity",0.259823120379226
"COVID","Cytotoxicity",0.146833285216645
"COVID","Cytotoxicity",0.0359546757956123
"COVID","Cytotoxicity",0.0786733840639536
"COVID","Cytotoxicity",0.364449613920165
"COVID","Cytotoxicity",0.0580100661678658
"COVID","Cytotoxicity",0.324499886933694
"COVID","Cytotoxicity",0.366617914327421
"COVID","Cytotoxicity",0.0741297857673204
"COVID","Cytotoxicity",0.39164213052605
"COVID","Cytotoxicity",0.245440604088119
"COVID","Cytotoxicity",0.210156281883578
"COVID","Cytotoxicity",0.322027028101096
"COVID","Cytotoxicity",0.14733035532601
"COVID","Cytotoxicity",0.280723652030391
"COVID","Cytotoxicity",0.246708106623839
"COVID","Cytotoxicity",0.374113945107747
"COVID","Cytotoxicity",0.247022529631448
"COVID","Cytotoxicity",0.309139230680045
"COVID","Cytotoxicity",0.215080206330827
"COVID","Cytotoxicity",0.28204651468163
"COVID","Cytotoxicity",0.329868115851457
"COVID","Cytotoxicity",0.344821708863851
"COVID","Cytotoxicity",0.342064601185909
"COVID","Cytotoxicity",0.448708531471555
"COVID","Cytotoxicity",0.401517964983433
"COVID","Cytotoxicity",0.444042857171701
"COVID","Cytotoxicity",0.417751792268595
"COVID","Cytotoxicity",0.0499854859977681
"COVID","Cytotoxicity",0.32897856854047
"COVID","Cytotoxicity",0.464641840854034
"COVID","Cytotoxicity",0.343513301914566
"COVID","Cytotoxicity",0.311811404949514
"COVID","Cytotoxicity",0.284240874460981
"COVID","Cytotoxicity",0.346655294719521
"COVID","Cytotoxicity",0.378552800400468
"COVID","Cytotoxicity",0.302331511853686
"COVID","Cytotoxicity",0.302061246601212
"COVID","Cytotoxicity",0.320240812699958
"COVID","Cytotoxicity",0.333800005733162
"COVID","Cytotoxicity",0.275064556299989
"COVID","Cytotoxicity",0.104823564791035
"COVID","Cytotoxicity",0
"COVID","Cytotoxicity",0.396259892969761
"COVID","Cytotoxicity",0.362233773462628
"COVID","Cytotoxicity",0
"COVID","Cytotoxicity",0.305165247470419
"COVID","Cytotoxicity",0.353982889580108
"COVID","Cytotoxicity",0.365596795828217
"COVID","Cytotoxicity",0.0725918057384051
"COVID","Cytotoxicity",0.379216397812374
"COVID","Cytotoxicity",0.2683544010529
"COVID","Cytotoxicity",0.123810917845176
"COVID","Cytotoxicity",0.358651507861015
"COVID","Cytotoxicity",0.0253047205953584
"COVID","Cytotoxicity",0.407372212682018
"COVID","Cytotoxicity",0.254833161696185
"COVID","Cytotoxicity",0.447302143647089
"COVID","Cytotoxicity",0.237926347720914
"COVID","Cytotoxicity",0.426789507303756
"COVID","Cytotoxicity",0.234686048984452
"COVID","Cytotoxicity",0.332983142139898
"COVID","Cytotoxicity",0.321887691927075
"COVID","Cytotoxicity",0.477658731280885
"COVID","Cytotoxicity",0.127230711498968
"COVID","Cytotoxicity",0.0950906078389132
"COVID","Cytotoxicity",0.274164579382368
"COVID","Cytotoxicity",0.308519342670185
"COVID","Cytotoxicity",0.314510695542082
"COVID","Cytotoxicity",0.380025819606687
"COVID","Cytotoxicity",0.377662423142932
"COVID","Cytotoxicity",0.339517793243865
"COVID","Cytotoxicity",0.254771815877025
"COVID","Cytotoxicity",0.268760443800874
"COVID","Cytotoxicity",0.31922847215813
"COVID","Cytotoxicity",0.361357344518516
"COVID","Cytotoxicity",0.147312907102994
"COVID","Cytotoxicity",0.262022082278766
"COVID","Cytotoxicity",0.129969766800247
"COVID","Cytotoxicity",0.278157315279393
"COVID","Cytotoxicity",0.226301272169803
"COVID","Cytotoxicity",0.236560897053921
"COVID","Cytotoxicity",0.274255092691465
"COVID","Cytotoxicity",0.247876157088194
"COVID","Cytotoxicity",0.258351588842997
"COVID","Cytotoxicity",0.260211912127556
"COVID","Cytotoxicity",0.340337246317405
"COVID","Cytotoxicity",0.235697127113332
"COVID","Cytotoxicity",0.202459471782382
"COVID","Cytotoxicity",0.259921500819347
"COVID","Cytotoxicity",0.271186803545968
"COVID","Cytotoxicity",0.113407045228426
"COVID","Cytotoxicity",0.232618656250378
"COVID","Cytotoxicity",0.150167784978978
"COVID","Cytotoxicity",0.246609907645925
"COVID","Cytotoxicity",0.183077323842694
"COVID","Cytotoxicity",0.141316331244074
"COVID","Cytotoxicity",0.310910443812228
"COVID","Cytotoxicity",0.197217641579817
"COVID","Cytotoxicity",0.296704674711484
"COVID","Cytotoxicity",0.174333556477107
"COVID","Cytotoxicity",0.10920658829708
"COVID","Cytotoxicity",0.140666088749176
"COVID","Cytotoxicity",0.407412334214846
"COVID","Cytotoxicity",0.245745067149267
"COVID","Cytotoxicity",0.34843318733677
"COVID","Cytotoxicity",0.287650682617878
"COVID","Cytotoxicity",0.360097429113186
"COVID","Cytotoxicity",0.135326682508351
"COVID","Cytotoxicity",0.163192725307862
"COVID","Cytotoxicity",0.234828917776155
"COVID","Cytotoxicity",0.0814462838251935
"COVID","Cytotoxicity",0.275711574881863
"COVID","Cytotoxicity",0.532092702411599
"COVID","Cytotoxicity",0.242345939842111
"COVID","Cytotoxicity",0.408538320971962
"COVID","Cytotoxicity",0.268045718357069
"COVID","Cytotoxicity",0.517205582335813
"COVID","Cytotoxicity",0.230385575288077
"COVID","Cytotoxicity",0.348384719792566
"COVID","Cytotoxicity",0.522152400144432
"COVID","Cytotoxicity",0.362517235974884
"COVID","Cytotoxicity",0.416144669311588
"COVID","Cytotoxicity",0.355181234723649
"COVID","Cytotoxicity",0.321201880073602
"COVID","Cytotoxicity",0.374524761061122
"COVID","Cytotoxicity",0.393524755059036
"COVID","Cytotoxicity",0.133677186208255
"COVID","Cytotoxicity",0.36324261174959
"COVID","Cytotoxicity",0.473236379929629
"COVID","Cytotoxicity",0.254855151337482
"COVID","Cytotoxicity",0.317552292466161
"COVID","Cytotoxicity",0.321981357292119
"COVID","Cytotoxicity",0.367910239536083
"COVID","Cytotoxicity",0.362993236946606
"COVID","Cytotoxicity",0.303083873284261
"COVID","Cytotoxicity",0.319558602433382
"COVID","Cytotoxicity",0.333605453487312
"COVID","Cytotoxicity",0.163659286331184
"COVID","Cytotoxicity",0.439631107931581
"COVID","Cytotoxicity",0.145977058667124
"COVID","Cytotoxicity",0.327850534846943
"COVID","Cytotoxicity",0.341476005471999
"COVID","Cytotoxicity",0.172368606685072
"COVID","Cytotoxicity",0.386918917733585
"COVID","Cytotoxicity",0.257804685272852
"COVID","Cytotoxicity",0.379079919579958
"COVID","Cytotoxicity",0.392698725854996
"COVID","Cytotoxicity",0.372757825900337
"COVID","Cytotoxicity",0.230648222219907
"COVID","Cytotoxicity",0.325059364764531
"COVID","Cytotoxicity",0.240120581915969
"COVID","Cytotoxicity",0.21219072229039
"COVID","Cytotoxicity",0.334732860439995
"COVID","Cytotoxicity",0.109498416173369
"COVID","Cytotoxicity",0.344407996285742
"COVID","Cytotoxicity",0.0544702907614647
"COVID","Cytotoxicity",0.383489376512659
"COVID","Cytotoxicity",0.243401565538182
"COVID","Cytotoxicity",0.123917455639512
"COVID","Cytotoxicity",0.332459593684325
"COVID","Cytotoxicity",0.302523013122044
"COVID","Cytotoxicity",0.389279175502827
"COVID","Cytotoxicity",0.366711677328238
"COVID","Cytotoxicity",0.232117351573658
"COVID","Cytotoxicity",0.200046179303696
"COVID","Cytotoxicity",0.378517041495362
"COVID","Cytotoxicity",0.196951287092609
"COVID","Cytotoxicity",0.34415159685524
"COVID","Cytotoxicity",0.268490957274575
"COVID","Cytotoxicity",0.560686311123213
"COVID","Cytotoxicity",0.254766215143528
"COVID","Cytotoxicity",0.223682043851307
"COVID","Cytotoxicity",0.259174839547451
"COVID","Cytotoxicity",0.50564799928035
"COVID","Cytotoxicity",0.388350822616323
"COVID","Cytotoxicity",0.299138784841381
"COVID","Cytotoxicity",0.585974128615245
"COVID","Cytotoxicity",0.757660851018122
"COVID","Cytotoxicity",0.520476865808553
"COVID","Cytotoxicity",0.429276610902547
"COVID","Cytotoxicity",0.621619067004547
"COVID","Cytotoxicity",0.386548877112682
"COVID","Cytotoxicity",0.416074785819113
