sample,Cytotoxicity,tissue,InfiltrationScore,Antigen Proc & Pres,Antimicrobials,BCR Signaling Pathway,Chemokines,Chemokine Rcps,Cytokines,Cytokine Rcps,Interferons,Interferon Rcps,Interleukins,Interleukin Rcps,NK Cell Cytotoxicity,TCR Signaling Pathway,TNF Fam Mems,TNF Fam Mem Rcps,Antigen Pres,Cytotoxic T & NK Cells,B Cells,Anti Tumor Microenvironment,Checkpoint Inhibition
TCGA-OR-A5K3-01,0.096061288,ACC,0.689,0.320856382,0.186842018,-0.022920432,0.123817844,0.18867825,0.107260309,0.227949906,-0.223992746,0.414819289,0.040909177,0.234121144,0.254596207,-0.174098403,0.211657325,0.180580998,0.576586834,0.26900002,-0.011245063,0.177843569,0.32553813
TCGA-OR-A5J2-01,0.117210555,ACC,0.711,0.321543275,0.20973081,0.18438573,0.187304992,0.238108827,0.155710234,0.257359801,-0.257934003,0.461647497,0.030877966,0.256115977,0.264951128,-0.067353294,0.275478903,0.287966313,0.539213881,0.320817025,0.267352487,0.203562777,0.363493811
TCGA-OR-A5LN-01,0.32180924,ACC,0.735,0.349586987,0.196287876,0.044591391,0.145443468,0.244575689,0.117342412,0.244475304,-0.154493844,0.443128285,0.020761808,0.236965848,0.295255768,-0.054769051,0.288073171,0.285428496,0.584295216,0.468072796,0.134058724,0.254356482,0.418686958
TCGA-OR-A5KY-01,0.093034106,ACC,0.674,0.317702894,0.189218514,0.020122024,0.169614767,0.223457976,0.155056951,0.244646323,-0.20235077,0.455545241,0.056111566,0.214750132,0.259016392,-0.129033291,0.215881592,0.220633751,0.53046234,0.278173297,0.016695332,0.174243669,0.337546674
TCGA-OR-A5LG-01,0.115534886,ACC,0.712,0.318861919,0.206531254,0.031166289,0.186484193,0.208190225,0.131681487,0.243544628,-0.215969038,0.433025144,0.033721831,0.249851018,0.251181441,-0.127981869,0.201414381,0.234341007,0.529946545,0.317088466,0.031311121,0.152375648,0.324600513
TCGA-OR-A5JC-01,0.128147649,ACC,0.72,0.321613535,0.201607138,0.024192347,0.18893314,0.20087163,0.14359362,0.241009574,-0.172959107,0.426645032,0.057908282,0.221281493,0.258241012,-0.147151417,0.212604016,0.269897328,0.541673871,0.293148465,0.120432084,0.164658799,0.308140148
TCGA-OR-A5JV-01,0.217385213,ACC,0.762,0.334701349,0.210726373,-0.046780178,0.179004134,0.270903271,0.132878737,0.256919424,-0.250302821,0.447720176,0.037736776,0.263066922,0.291459522,-0.034592883,0.30100771,0.251662387,0.613977739,0.383647097,0.147040989,0.250559571,0.441278227
TCGA-OU-A5PI-01,0.086185693,ACC,0.692,0.316279266,0.17560646,0.002566608,0.163575245,0.172581958,0.127594521,0.241356377,-0.241671655,0.453497636,0.022123814,0.238541464,0.252803844,-0.148126527,0.230876961,0.219562819,0.522275694,0.238208861,0.000691111,0.166862476,0.304969799
TCGA-OR-A5KO-01,0.071955471,ACC,0.638,0.287712011,0.163551224,-0.045753788,0.119021859,0.177647836,0.113894458,0.230676357,-0.223960812,0.414564457,0.006855134,0.214691039,0.230198225,-0.195029852,0.183733375,0.259205609,0.43406209,0.111313533,0.039689596,0.120976122,0.11562958
TCGA-OR-A5JP-01,0.076179232,ACC,0.645,0.305450082,0.200699536,0.017342827,0.211172532,0.205354028,0.165163888,0.251409208,-0.245503881,0.428524668,0.042469251,0.251290743,0.251976972,-0.176516124,0.276032983,0.246772632,0.510288874,0.235571859,0.05169195,0.122741581,0.23100834
TCGA-OR-A5L9-01,0.211495097,ACC,0.64,0.297276116,0.186347715,0.042645861,0.187747249,0.236559587,0.11660313,0.2316179,-0.231353102,0.420848833,-0.010262086,0.235361231,0.245358281,-0.165517327,0.205303666,0.291926481,0.559151861,0.372408027,0.152642377,0.054036523,0.381753264
TCGA-OR-A5JO-01,0.507999937,ACC,0.8,0.364248463,0.233975979,0.105117648,0.247577659,0.266874221,0.170712981,0.269837068,-0.165619725,0.474653934,0.081623195,0.312368678,0.3114141,-0.007822087,0.294693093,0.333034151,0.609155252,0.521355884,0.339063407,0.315499713,0.446837828
TCGA-OR-A5JX-01,0.122993069,ACC,0.73,0.32204548,0.185486526,-0.041876213,0.132778889,0.211185897,0.127054755,0.234438948,-0.242092834,0.450948616,0.018052465,0.229750793,0.261541876,-0.172689368,0.204910236,0.284155672,0.526577409,0.279439671,0.084781117,0.11401811,0.349440326
TCGA-PA-A5YG-01,0.300379208,ACC,0.766,0.343491982,0.22129847,0.116603861,0.228054493,0.267818291,0.158652058,0.27167924,-0.223932289,0.452498193,0.039088112,0.284028544,0.294450097,-0.00025501,0.312397253,0.277163072,0.574285314,0.449701091,0.234605696,0.245515136,0.40596566
